occ1990dd,top_source_title,human_rating_beta,pre_slope,post_slope,d_slope,emp_2025
313,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.6706329029698594,-0.03357302674047996,-0.002627299031675459,0.0309457277088045,3284590.0
359,"Dispatchers, Except Police, Fire, and Ambulance",0.6229619565217391,-0.007991438370005727,-0.010631299516064577,-0.0026398611460588493,305310.0
68,Data Scientists,0.6157512626262627,0.45465498228239537,0.14869972936556855,-0.3059552529168268,266160.0
65,Logisticians,0.6127993585468678,0.0379596830577319,0.0290477658487939,-0.008911917208937997,359550.0
25,Financial and Investment Analysts,0.6120328143135161,-0.09103426356192795,-0.022855309248604436,0.06817895431332352,1314890.0
376,Customer Service Representatives,0.6022727272727273,0.016609978735885485,-0.058924037531100454,-0.07553401626698594,2760540.0
23,Accountants and Auditors,0.5987096774193548,-0.0020106456012301595,-0.004652818127848272,-0.0026421725266181128,1506110.0
308,"Computer Occupations, All Other",0.5969636725035986,0.22787526254631185,-0.0025473238105830445,-0.2304225863568949,217685.0
194,Interpreters and Translators,0.6042105263157894,0.04985365723419626,0.0051896188339861865,-0.04466403840021008,86325.0
385,Data Entry Keyers,0.4999999999999999,-0.0647663873394924,-0.09373795430323982,-0.02897156696374742,127080.0
