occ1990dd,pre_slope,post_slope,d_slope,emp_2025,top_source_title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma
4,-0.05308412741486444,-0.008583875648159569,0.04450025176670487,204350.0,Chief Executives,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.1177777777777777,0.3694444444444443,0.6211111111111112
7,0.04308865303171553,0.02574134837040072,-0.01734730466131481,841710.0,Financial Managers,0.0,0.4850552306692657,0.9701104613385316,0.1221201151025712,0.4541306971131532,0.7861412791237351
8,0.041380009040200415,0.0521019291325328,0.010721920092332388,291650.0,Human Resources Managers,0.0874960127591706,0.497719298245614,0.9079425837320576,0.1232216905901116,0.4625996810207336,0.8019776714513557
13,0.028772596992983738,0.03429685690519123,0.00552425991220749,1450830.0,Sales Managers,0.0966540404040404,0.5216922128259337,0.946730385247827,0.2851545983086681,0.5784747915198497,0.8717949847310312
14,0.023429506029278815,0.026800501349564992,0.0033709953202861777,637590.0,"Education Administrators, Kindergarten through Secondary",0.0350240206947523,0.4419854028085734,0.8489467849223947,0.298480229120473,0.4819267368810052,0.6653732446415374
15,0.046711739968123854,0.06043849942391469,0.013726759455790834,597080.0,Medical and Health Services Managers,0.0,0.4285714285714285,0.8571428571428571,0.1142857142857142,0.3714285714285714,0.6285714285714286
18,0.04871868592021108,0.04045550598105124,-0.008263179939159836,311180.0,"Property, Real Estate, and Community Association Managers",0.0,0.4431818181818182,0.8863636363636364,0.2045454545454545,0.4318181818181818,0.6590909090909091
19,-0.06693179682482243,0.00373479049916643,0.07066658732398887,25100.0,"Morticians, Undertakers, and Funeral Arrangers",0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069
22,0.005973697307002912,0.019257761010883754,0.013284063703880841,7437956.666666667,General and Operations Managers,0.0912037377373249,0.4610223260592253,0.8308409143811256,0.1832447554247268,0.4179525709038357,0.6526603863829447
23,-0.0020106456012301595,-0.004652818127848272,-0.0026421725266181128,1506110.0,Accountants and Auditors,0.1567741935483871,0.5703225806451613,0.9838709677419356,0.3258064516129032,0.5987096774193548,0.8716129032258064
24,0.015892043964514727,-0.011609248835356415,-0.02750129279987114,105420.0,Insurance Underwriters,0.1428571428571428,0.5714285714285714,1.0,0.1428571428571428,0.5,0.8571428571428571
25,-0.09103426356192795,-0.022855309248604436,0.06817895431332352,1314890.0,Financial and Investment Analysts,0.1413695354046231,0.5549519332852666,0.96853433116591,0.2914071500036412,0.6120328143135161,0.932658478623391
26,0.025979277932875126,0.0214234793693636,-0.004555798563511525,898280.0,Management Analysts,0.0952380952380952,0.4047619047619047,0.7142857142857142,0.1904761904761904,0.5,0.8095238095238095
27,0.039994085104347224,0.026616988311095113,-0.013377096793252111,1548230.0,Human Resources Specialists,0.1374710360807679,0.4721574376192052,0.8068438391576425,0.2455654860421493,0.4196149177976387,0.5936643495531281
28,0.7262320504647292,0.002036858235954002,-0.7241951922287752,163810.0,Buyers and Purchasing Agents,0.0555555555555555,0.5277777777777778,1.0,0.0555555555555555,0.25,0.4444444444444444
29,0.058206413207728416,0.002036858235954002,-0.056169554971774414,163810.0,Buyers and Purchasing Agents,0.0333333333333333,0.4666666666666667,0.9,0.1,0.4,0.7
33,-0.17647239553574495,0.009031333364072159,0.18550372889981712,248130.0,Buyers and Purchasing Agents,0.1406015037593984,0.5296992481203007,0.918796992481203,0.1360902255639097,0.4199248120300751,0.7037593984962406
34,0.050420906830143414,-0.018384198260849863,-0.06880510509099327,12620.0,"Agents and Business Managers of Artists, Performers, and Athletes",0.1739130434782608,0.5434782608695652,0.9130434782608696,0.3043478260869565,0.3695652173913043,0.4347826086956521
35,0.03676647493291471,0.024892491821635627,-0.011873983111279084,146720.0,Construction and Building Inspectors,0.0,0.3341042893187552,0.6682085786375105,0.073170731707317,0.2823801513877207,0.4915895710681245
36,0.04457332405825078,0.024516784492705387,-0.02005653956554539,535190.0,Compliance Officers,0.0983007031941239,0.4287680916436809,0.7592354800932378,0.2267931108841131,0.4440981186825622,0.6614031264810113
