occ1990dd,label_latest,task_routine,D_doc,D_comp,D_struct,D_doc08,D_comp08,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,pre_slope,post_slope,d_slope,emp_2025
4,Chief Executives,1.9321327,3.52,4.16,-4.66,2.19,3.28,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.1177777777777777,0.3694444444444443,0.6211111111111112,-0.0530841274148644,-0.0085838756481595,0.0445002517667048,204350.0
7,Financial Managers,2.0961373,3.4933333333333336,4.403333333333333,-4.336666666666667,3.845,4.73,0.0,0.4850552306692657,0.9701104613385316,0.1221201151025712,0.4541306971131532,0.7861412791237351,0.0430886530317155,0.0257413483704007,-0.0173473046613148,841710.0
8,Human Resources Managers,1.8218352,3.9333333333333336,4.423333333333333,-4.32,3.4266666666666663,4.123333333333334,0.0874960127591706,0.497719298245614,0.9079425837320576,0.1232216905901116,0.4625996810207336,0.8019776714513557,0.0413800090402004,0.0521019291325328,0.0107219200923323,291650.0
13,Sales Managers,1.3803619,3.3280000000000003,4.336,-4.178,3.0780000000000003,4.168,0.0966540404040404,0.5216922128259337,0.946730385247827,0.2851545983086681,0.5784747915198497,0.8717949847310312,0.0287725969929837,0.0342968569051912,0.0055242599122074,1450830.0
14,"Education Administrators, Kindergarten through Secondary",1.483199,3.6999999999999997,3.91,-4.383333333333333,3.7933333333333334,3.8200000000000003,0.0350240206947523,0.4419854028085734,0.8489467849223947,0.298480229120473,0.4819267368810052,0.6653732446415374,0.0234295060292788,0.0268005013495649,0.0033709953202861,637590.0
15,Medical and Health Services Managers,2.4129958,4.07,4.56,-3.89,3.72,4.0,0.0,0.4285714285714285,0.8571428571428571,0.1142857142857142,0.3714285714285714,0.6285714285714286,0.0467117399681238,0.0604384994239146,0.0137267594557908,597080.0
18,"Property, Real Estate, and Community Association Managers",1.8410571,3.37,4.2,-4.25,3.6,2.72,0.0,0.4431818181818182,0.8863636363636364,0.2045454545454545,0.4318181818181818,0.6590909090909091,0.048718685920211,0.0404555059810512,-0.0082631799391598,311180.0
19,"Morticians, Undertakers, and Funeral Arrangers",1.25,4.46,3.7,-4.24,4.01,3.19,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,-0.0669317968248224,0.0037347904991664,0.0706665873239888,25100.0
22,General and Operations Managers,1.8862263,3.7970588235294116,4.220588235294118,-4.335686274509804,3.730769230769231,4.047692307692308,0.0912037377373249,0.4610223260592253,0.8308409143811256,0.1832447554247268,0.4179525709038357,0.6526603863829447,0.0059736973070029,0.0192577610108837,0.0132840637038808,7437956.666666667
23,Accountants and Auditors,5.992986,4.135,4.609999999999999,-4.08,4.0,4.2925,0.1567741935483871,0.5703225806451613,0.9838709677419356,0.3258064516129032,0.5987096774193548,0.8716129032258064,-0.0020106456012301,-0.0046528181278482,-0.0026421725266181,1506110.0
